0.020000, 0.001620
0.020000, 0.000655
0.040000, 0.038590
0.040000, 0.017784
0.060000, 0.186290
0.060000, 0.089361
0.080000, 0.447480
0.080000, 0.219167
0.100000, 0.716330
0.100000, 0.354425
0.120000, 0.893600
0.120000, 0.444957
0.140000, 0.973150
0.140000, 0.485969
0.160000, 0.995960
0.160000, 0.497901
0.180000, 0.999510
0.180000, 0.499792
0.200000, 0.999990
0.200000, 0.500042
0.220000, 1.000000
0.220000, 0.500047
0.240000, 1.000000
0.240000, 0.500047
0.260000, 1.000000
0.260000, 0.500047
0.280000, 1.000000
0.280000, 0.500047
